SetupTitle, HfO2 experiment,,,,
PrimitiveTest, I/V Sweep,,,,
TestParameter, Context.MainFrame, 4155C,,,
TestParameter, Channel.UnitType, SMU, SMU,,
TestParameter, Channel.Unit, SMU1:MP, SMU2:MP,,
TestParameter, Channel.IName, DrainCurrent, SourceCurrent,,
TestParameter, Channel.VName, DrainVoltage, Ground,,
TestParameter, Channel.Mode, V, COMMON,,
TestParameter, Channel.Func, VAR1, CONST,,
TestParameter, Channel.Index, ,,,
TestParameter, Channel.Time, ,,,
TestParameter, Measurement.Port.Unit, SMU1:MP, SMU2:MP,,
TestParameter, Measurement.Port.SeriesResistor, NONE, NONE,,
TestParameter, Measurement.Port.Filter, ON, ON,,
TestParameter, Measurement.Primary.Locus, Double,,,
TestParameter, Measurement.Primary.Scale, LINEAR,,,
TestParameter, Measurement.Primary.Start,-1,,,
TestParameter, Measurement.Primary.Stop,1,,,
TestParameter, Measurement.Primary.Step,0.01,,,
TestParameter, Measurement.Primary.Compliance,0.1,,,
TestParameter, Measurement.Primary.PowerCompliance,0,,,
TestParameter, Measurement.Aborting.Condition, STOP AT ANY ABNORMAL,,,
TestParameter, Measurement.PostOutput.Value, START,,,
TestParameter, Measurement.PostOutput.Retention, OFF,,,
TestParameter, Measurement.Bias.Source,-1,0,,
TestParameter, Measurement.Bias.Compliance,0.1,0.1,,
TestParameter, Measurement.Monitor.Unit, SMU1:MP, SMU2:MP,,
TestParameter, Measurement.Monitor.Adc, HR ADC, HR ADC,,
TestParameter, Measurement.Monitor.RangingMode, LIMITED, LIMITED,,
TestParameter, Measurement.Monitor.RangeBoundary, 1nA, 1nA,,
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE,,
TestParameter, Measurement.Monitor.RangeRatingCoeff,50,50,,
TestParameter, Measurement.Timing.Hold,0,,,
TestParameter, Measurement.Timing.Delay,0,,,
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF,,,
TestParameter, Measurement.Adc.HighResolution.Mode, PLC,,,
TestParameter, Measurement.Adc.HighResolution.Coeff,1,,,
TestParameter, Measurement.Ag16440ASelector.SemiconductorRelay.Channel1, DEFAULT,,,
TestParameter, Measurement.Ag16440ASelector.SemiconductorRelay.Channel3, DEFAULT,,,
TestParameter, Output.Graph.Enabled, true,,,
TestParameter, Output.Graph.AutoScaling, false,,,
TestParameter, Output.Graph.XAxis.Data, DrainVoltage,,,
TestParameter, Output.Graph.XAxis.Scale, Linear,,,
TestParameter, Output.Graph.XAxis.Left,-5,,,
TestParameter, Output.Graph.XAxis.Right,5,,,
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true,,,
TestParameter, Output.Graph.YAxis.Data, DrainCurrent,,,
TestParameter, Output.Graph.YAxis.Scale, Linear,,,
TestParameter, Output.Graph.YAxis.Bottom,-0.1,,,
TestParameter, Output.Graph.YAxis.Top,0.1,,,
TestParameter, Output.Graph.YAxis.Group, ,,,
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true,,,
TestParameter, Output.List.Data, V3, I3, I1,
TestParameter, AutoAnalysis.Interpolation, false,,,
TestParameter, AutoAnalysis.Var2StepCount,1,,,
TestParameter, AutoAnalysis.Var2StepScript, ,,,
TestParameter, AutoAnalysis.Line1.Enabled, false,,,
TestParameter, AutoAnalysis.Line1.Type,1,,,
TestParameter, AutoAnalysis.Line1.Fix, True,,,
TestParameter, AutoAnalysis.Line1.YAxis,0,,,
TestParameter, AutoAnalysis.Line1.Point1.Type,0,,,
TestParameter, AutoAnalysis.Line1.Point1.XY.X, ,,,
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, ,,,
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, ,,,
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, ,,,
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false,,,
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, ,,,
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, ,,,
TestParameter, AutoAnalysis.Line1.Point2.Type,0,,,
TestParameter, AutoAnalysis.Line1.Point2.XY.X, ,,,
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, ,,,
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, ,,,
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, ,,,
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false,,,
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, ,,,
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, ,,,
TestParameter, AutoAnalysis.Line1.GradientExpr,0,,,
TestParameter, AutoAnalysis.Line2.Enabled, false,,,
TestParameter, AutoAnalysis.Line2.Type,1,,,
TestParameter, AutoAnalysis.Line2.Fix, True,,,
TestParameter, AutoAnalysis.Line2.YAxis,0,,,
TestParameter, AutoAnalysis.Line2.Point1.Type,0,,,
TestParameter, AutoAnalysis.Line2.Point1.XY.X, ,,,
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, ,,,
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, ,,,
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, ,,,
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false,,,
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, ,,,
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, ,,,
TestParameter, AutoAnalysis.Line2.Point2.Type,0,,,
TestParameter, AutoAnalysis.Line2.Point2.XY.X, ,,,
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, ,,,
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, ,,,
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, ,,,
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false,,,
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, ,,,
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, ,,,
TestParameter, AutoAnalysis.Line2.GradientExpr,0,,,
TestParameter, AutoAnalysis.Marker.Enabled, false,,,
TestParameter, AutoAnalysis.Marker.Data.Var, ,,,
TestParameter, AutoAnalysis.Marker.Data.Condition, ,,,
TestParameter, AutoAnalysis.Marker.Data.Start, false,,,
TestParameter, AutoAnalysis.Marker.Data.StartVar, ,,,
TestParameter, AutoAnalysis.Marker.Data.StartCondition, ,,,
MetaData, TestRecord.EntryPoint, true,,,
MetaData, TestRecord.RecordTime, 05/10/2022 11:42:15,,,
MetaData, TestRecord.TestTarget, ,,,
MetaData, TestRecord.IterationIndex,119,,,
MetaData, TestRecord.Preservation, true,,,
MetaData, TestRecord.Flag, ,,,
MetaData, TestRecord.Remarks, 300 500 60 1 2,,,
MetaData, TestRecord.LinkKey, c261fc73-4e30-4fb7-b157-b3096648b2ec,,,
MetaData, TestRecord.Parameters, ,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis,0,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis,0,,,
